"testname","nreps","ncases","meandiff","sddiff"
"auto01",10,20,2.50888888888889,3.02411340037863
"auto01",10,20,2.33666666666667,3.19126340471272
"auto01",10,20,2.23833333333333,3.24428642569608
"examples01",10,20,2.36055555555556,2.17146978487859
"examples01",10,20,1.72263888888889,2.66904071269499
"examples01",10,20,1.93291666666667,2.27413545522545
"examples01",10,20,1.56888888888889,2.8553254964554
"examples01",10,20,2.05,2.90322416053528
"examples01",20,20,1.57307275541796,2.48278642372894
"examples01",20,20,1.77258513931889,2.95784937095344
"examples01",20,20,1.79959064327485,2.92290663618064
"examples01",5,20,1.895,2.63989009938711
"examples01",5,20,1.72,3.15394489822708
"examples01",5,20,2.38,2.55456248185168
"examples01",5,20,1.67,2.80186028428107
